Mean Absolute Error,learner,dataset
0.156519435334093,regr.featureless,test
0.129892646321361,regr.featureless,train
0.189605663389206,regr.kknn,test
0.0781303615081153,regr.kknn,train
0.151898374387924,regr.lm,test
0.11310769828779,regr.lm,train
0.163016761878206,regr.nnet,test
0.094520390378993,regr.nnet,train
0.150186012429002,regr.randomForest,test
0.083714795880993,regr.randomForest,train
0.16062714381895,regr.ranger,test
0.0827047751092775,regr.ranger,train
